Date,Price
25-08-20,12850
26-08-20,12850
27-08-20,12800
28-08-20,12800
31-08-20,12750
01-09-20,12750
02-09-20,12700
03-09-20,12650
04-09-20,12650
07-09-20,12600
08-09-20,12550
09-09-20,12500
10-09-20,12450
11-09-20,12450
14-09-20,12450
15-09-20,12350
16-09-20,12300
17-09-20,12250
18-09-20,12200
21-09-20,12200
22-09-20,12250
23-09-20,12300
24-09-20,12300
25-09-20,12350
28-09-20,12350
29-09-20,12250
12-10-20,12250
13-10-20,12250
14-10-20,12350
15-10-20,12400
16-10-20,12500
19-10-20,12650
20-10-20,12750
21-10-20,12850
22-10-20,12850
23-10-20,12850
26-10-20,12800
27-10-20,12700
28-10-20,12650
29-10-20,12500
30-10-20,12500
02-11-20,12500
03-11-20,12550
04-11-20,12650
05-11-20,12700
06-11-20,12700
09-11-20,12700
10-11-20,12700
11-11-20,12750
12-11-20,12800
13-11-20,12900
16-11-20,12950
17-11-20,12950
18-11-20,13050
19-11-20,13200
20-11-20,13450
23-11-20,13700
24-11-20,13700
25-11-20,13650
26-11-20,13650
27-11-20,13450
30-11-20,13550
01-12-20,13650
02-12-20,13750
03-12-20,13900
04-12-20,14150
07-12-20,14550
08-12-20,14900
09-12-20,14950
10-12-20,15150
11-12-20,15350
14-12-20,15450
15-12-20,15450
16-12-20,15450
17-12-20,15400
18-12-20,15300
21-12-20,15300
22-12-20,15450
23-12-20,15550
24-12-20,15600
25-12-20,15650
28-12-20,15650
29-12-20,15650
30-12-20,15500
31-12-20,15400
04-01-21,15350
05-01-21,15250
06-01-21,15150
07-01-21,14750
08-01-21,14350
11-01-21,14400
12-01-21,14400
13-01-21,14350
14-01-21,14300
15-01-21,14250
18-01-21,14250
19-01-21,14150
20-01-21,14100
21-01-21,14050
22-01-21,14050
25-01-21,14200
26-01-21,14300
27-01-21,14300
28-01-21,14250
29-01-21,14200
01-02-21,14200
02-02-21,14200
03-02-21,14150
04-02-21,14150
05-02-21,14150
22-02-21,14550
23-02-21,14700
24-02-21,14800
25-02-21,14950
26-02-21,15350
01-03-21,15700
02-03-21,15700
03-03-21,15550
04-03-21,15550
05-03-21,15350
08-03-21,15550
09-03-21,15550
10-03-21,15550
11-03-21,15550
12-03-21,15500
15-03-21,15500
16-03-21,15450
17-03-21,15450
18-03-21,15400
19-03-21,15400
22-03-21,15400
23-03-21,15400
24-03-21,15350
25-03-21,15350
26-03-21,15300
29-03-21,15300
30-03-21,15250
31-03-21,15200
01-04-21,15350
02-04-21,15500
06-04-21,15500
07-04-21,15500
08-04-21,15450
09-04-21,15600
12-04-21,15600
13-04-21,15600
14-04-21,15650
15-04-21,15650
16-04-21,15650
19-04-21,16250
20-04-21,16450
21-04-21,16550
22-04-21,16850
23-04-21,17150
26-04-21,17350
27-04-21,17450
28-04-21,17450
29-04-21,17450
30-04-21,17450
06-05-21,17350
07-05-21,17650
10-05-21,19050
11-05-21,19650
12-05-21,20350
13-05-21,21050
14-05-21,21550
17-05-21,21550
18-05-21,20950
19-05-21,20450
20-05-21,20050
21-05-21,19500
24-05-21,18950
25-05-21,17950
26-05-21,17950
27-05-21,17950
28-05-21,17950
31-05-21,17850
01-06-21,17950
02-06-21,18000
03-06-21,18350
04-06-21,18850
07-06-21,18850
08-06-21,18750
09-06-21,18550
10-06-21,18550
11-06-21,18600
15-06-21,18800
16-06-21,19150
17-06-21,19450
18-06-21,20000
21-06-21,20000
22-06-21,19850
23-06-21,19650
24-06-21,19350
25-06-21,19550
28-06-21,19550
29-06-21,19500
30-06-21,19250
01-07-21,19050
02-07-21,19050
05-07-21,19450
06-07-21,19450
07-07-21,19400
08-07-21,19350
09-07-21,19300
12-07-21,19500
13-07-21,19600
14-07-21,19600
15-07-21,19850
16-07-21,19950
19-07-21,20150
20-07-21,20350
21-07-21,20350
22-07-21,20350
23-07-21,20250
26-07-21,20150
27-07-21,20250
28-07-21,20350
29-07-21,20750
30-07-21,20850
02-08-21,21050
03-08-21,21050
04-08-21,20950
05-08-21,20950
06-08-21,20950
09-08-21,21150
10-08-21,21450
11-08-21,21650
12-08-21,21950
13-08-21,22150
16-08-21,22450
17-08-21,22450
18-08-21,22450
19-08-21,22350
20-08-21,22350
23-08-21,23350
24-08-21,24350
25-08-21,24950
26-08-21,25250
27-08-21,26000
30-08-21,27250
31-08-21,28750
01-09-21,29750
02-09-21,30550
03-09-21,30550
06-09-21,30550
07-09-21,30550
08-09-21,30250
09-09-21,30250
10-09-21,31150
13-09-21,32550
14-09-21,33750
15-09-21,36500
16-09-21,38500
17-09-21,40500
22-09-21,50500
23-09-21,62000
24-09-21,63000
27-09-21,61200
28-09-21,56000
29-09-21,53000
11-10-21,49000
12-10-21,49000
13-10-21,49000
14-10-21,49000
15-10-21,48000
18-10-21,48000
19-10-21,48000
20-10-21,48000
21-10-21,48000
22-10-21,47000
25-10-21,46000
26-10-21,44000
27-10-21,43000
28-10-21,40000
29-10-21,37000
01-11-21,33000
02-11-21,30000
03-11-21,28000
04-11-21,28500
05-11-21,30500
08-11-21,30500
09-11-21,30500
10-11-21,30500
11-11-21,30500
12-11-21,32500
15-11-21,34500
16-11-21,36000
17-11-21,37000
18-11-21,37000
19-11-21,37000
22-11-21,36000
23-11-21,34000
24-11-21,33000
25-11-21,34000
26-11-21,35500
29-11-21,35500
30-11-21,35000
01-12-21,35000
02-12-21,36000
03-12-21,38000
06-12-21,39500
07-12-21,39500
08-12-21,39500
09-12-21,39500
10-12-21,39500
13-12-21,40500
14-12-21,41000
15-12-21,41500
16-12-21,42000
17-12-21,42000
20-12-21,41500
21-12-21,40500
22-12-21,39500
23-12-21,42500
24-12-21,44500
27-12-21,47500
28-12-21,48500
29-12-21,48500
30-12-21,48500
31-12-21,48500
04-01-22,50500
05-01-22,51500
06-01-22,51500
07-01-22,51500
10-01-22,51000
11-01-22,49500
12-01-22,47500
13-01-22,45500
14-01-22,42500
17-01-22,42500
18-01-22,42500
19-01-22,43500
20-01-22,44500
21-01-22,44500
24-01-22,41500
25-01-22,42000
26-01-22,41500
27-01-22,41500
28-01-22,41500
07-02-22,42500
08-02-22,42500
09-02-22,42500
10-02-22,43000
11-02-22,43000
14-02-22,42500
15-02-22,41500
16-02-22,40500
17-02-22,40500
18-02-22,40500
21-02-22,43500
22-02-22,44500
23-02-22,44500
24-02-22,44500
25-02-22,45500
28-02-22,45000
01-03-22,44000
02-03-22,43000
03-03-22,42500
04-03-22,41500
07-03-22,41500
08-03-22,43000
09-03-22,43500
10-03-22,43500
11-03-22,42300
14-03-22,41000
15-03-22,40000
16-03-22,39500
17-03-22,39500
18-03-22,39500
21-03-22,39500
22-03-22,40500
23-03-22,40500
24-03-22,40500
25-03-22,40000
28-03-22,40000
29-03-22,40000
30-03-22,40000
31-03-22,40000
01-04-22,39500
06-04-22,39500
07-04-22,39500
08-04-22,39500
11-04-22,39000
12-04-22,38500
13-04-22,38000
14-04-22,37500
15-04-22,36500
18-04-22,35500
19-04-22,35000
20-04-22,36000
21-04-22,37000
22-04-22,37500
25-04-22,37500
26-04-22,36500
27-04-22,36000
28-04-22,35500
29-04-22,35500
05-05-22,36500
06-05-22,37000
09-05-22,36500
10-05-22,35500
11-05-22,33500
12-05-22,34500
13-05-22,35500
16-05-22,35000
17-05-22,34000
18-05-22,33000
19-05-22,33000
20-05-22,33000
23-05-22,32500
24-05-22,31500
25-05-22,30500
26-05-22,30500
27-05-22,30500
30-05-22,29600
31-05-22,28500
01-06-22,28000
02-06-22,27500
06-06-22,26500
07-06-22,26000
